x3,y3,z3,TRUTH
42.9129,15.8808,-144.0919,2
42.9345,15.9917,-144.049,2
42.9428,16.1438,-144.037,2
42.9848,16.3132,-144.0674,3
43.0238,16.4005,-144.1076,3
43.0598,16.5009,-144.128,3
43.1055,16.5866,-144.1375,3
43.121,16.6795,-144.1691,3
43.123,16.7663,-144.2536,3
43.0828,16.7909,-144.2792,3
43.0676,16.7718,-144.29,3
43.0357,16.8192,-144.2351,3
43.0225,16.8769,-144.2543,3
42.989,16.9513,-144.2599,3
42.9369,16.9998,-144.3009,3
42.9384,17.0349,-144.3407,3
42.9574,17.0523,-144.4312,2
43.0052,17.0837,-144.5172,2
43.0665,17.1072,-144.6488,2
43.1177,17.1382,-144.7782,2
43.1431,17.1451,-144.8675,2
43.1394,17.1815,-144.9363,2
43.1404,17.2724,-144.8924,2
43.1013,17.3217,-144.8112,2
43.0395,17.4048,-144.7377,2
42.9943,17.44,-144.7272,2
42.9558,17.4254,-144.6909,2
42.9383,17.4803,-144.6791,2
42.9421,17.5498,-144.6376,2
42.9659,17.622,-144.6975,2
42.9702,17.6718,-144.763,2
42.9813,17.6501,-144.8241,3
42.983,17.673,-144.8489,3
42.9804,17.6587,-144.9019,3
43.0087,17.6658,-144.9682,3
43.0411,17.7301,-145.0236,3
43.0718,17.8306,-145.0636,3
43.1134,17.9268,-145.0565,2
43.1362,17.9871,-145.0755,2
43.1815,18.0832,-145.0522,2
43.2034,18.1365,-145.0763,2
43.2452,18.2014,-145.081,2
43.313,18.2297,-145.0771,2
43.375,18.2632,-145.0688,2
43.4053,18.311,-145.0355,2
43.4197,18.3712,-145.0209,2
43.4619,18.4106,-145.0606,2
43.4846,18.4151,-145.0828,2
43.498,18.4281,-145.0633,2
43.5078,18.4631,-145.0213,2
43.537,18.4513,-145.0507,2
43.5284,18.4515,-145.0195,2
43.5299,18.4275,-145.0233,2
43.5216,18.4257,-145.0757,2
43.5479,18.4171,-145.1006,2
43.5441,18.4089,-145.0994,2
43.5093,18.3882,-145.0992,2
43.4714,18.3441,-145.1013,2
43.4512,18.307,-145.1153,2
43.4536,18.3112,-145.1303,2
43.4548,18.3186,-145.1324,2
43.4446,18.346,-145.1528,2
43.442,18.3782,-145.169,2
43.4474,18.4012,-145.1768,2
43.4436,18.4901,-145.205,1
43.411,18.5799,-145.1981,1
43.3997,18.6692,-145.2395,1
43.4178,18.8088,-145.2156,1
43.4407,18.9775,-145.2084,1
43.4535,19.0924,-145.1934,1
43.486,19.1789,-145.1885,1
43.4762,19.2707,-145.2343,1
43.4537,19.3381,-145.2607,1
43.4535,19.359,-145.3004,1
43.4037,19.4008,-145.3075,2
43.3524,19.3638,-145.3233,2
43.3043,19.325,-145.2998,2
43.2579,19.3116,-145.2494,2
43.2334,19.3271,-145.2585,2
43.1794,19.3468,-145.1979,2
43.1217,19.3461,-145.1723,2
43.102,19.3734,-145.1745,2
43.0388,19.349,-145.1614,2
42.9495,19.2718,-145.1884,2
42.8602,19.1949,-145.2311,2
42.8015,19.1217,-145.3005,3
42.7155,19.065,-145.3388,3
42.6531,19.0666,-145.4063,3
42.6226,19.0279,-145.4005,3
42.6059,19.0212,-145.4513,2
42.5795,19.0315,-145.4997,2
42.5731,19.0257,-145.5752,2
42.5266,18.9929,-145.5822,2
42.5075,19.0282,-145.604,2
42.5038,19.0932,-145.5931,2
42.4761,19.1246,-145.5998,2
42.4701,19.152,-145.6363,2
42.4456,19.2011,-145.6009,2
42.419,19.2335,-145.6051,2
42.3954,19.2451,-145.5817,2
42.382,19.2507,-145.5781,2
42.3858,19.2562,-145.6307,2
42.3918,19.2771,-145.6122,2
42.3878,19.2882,-145.6232,2
42.4002,19.3183,-145.6605,2
42.4139,19.3638,-145.6839,2
42.4285,19.4318,-145.7008,2
42.4564,19.4781,-145.6851,3
42.4596,19.5207,-145.6375,3
42.4888,19.5794,-145.623,3
42.4706,19.602,-145.6221,3
42.4617,19.5757,-145.6223,3
42.4412,19.569,-145.6327,3
42.4434,19.6104,-145.679,3
42.4303,19.614,-145.6867,3
42.4608,19.6162,-145.7141,3
42.5046,19.6256,-145.7497,3
42.5564,19.6621,-145.7531,3
42.5776,19.7072,-145.7375,3
42.6025,19.7352,-145.694,3
42.6061,19.7432,-145.6371,3
42.5795,19.7776,-145.5816,2
42.5957,19.8403,-145.5029,2
42.6214,19.8817,-145.4409,2
42.6461,19.9356,-145.4411,2
42.6588,19.993,-145.4247,2
42.6655,19.9633,-145.4716,2
42.6698,19.9375,-145.6797,2
42.6894,19.9252,-145.8669,2
42.7094,19.9816,-146.0499,2
42.739,20.0463,-146.1731,2
42.7476,20.0846,-146.3084,2
42.7816,20.1569,-146.3258,2
42.7796,20.1693,-146.3352,2
42.7503,20.1856,-146.3454,2
42.7285,20.235,-146.3334,2
42.7047,20.2966,-146.2497,2
42.7247,20.38,-146.1708,3
42.7535,20.4167,-146.1558,3
42.7149,20.4198,-146.1477,2
42.6893,20.3746,-146.1501,2
42.6458,20.3231,-146.0253,2
42.5888,20.2745,-145.9352,2
42.5453,20.2187,-145.8412,2
42.4842,20.1395,-145.8071,2
42.4539,20.0773,-145.7502,2
42.4675,20.0287,-145.7057,2
42.4598,19.9888,-145.6858,2
42.4617,19.9817,-145.6839,3
42.4521,19.9935,-145.6728,2
42.4212,20.0343,-145.6388,2
42.4043,20.07,-145.5536,2
42.3694,20.0918,-145.4972,2
42.3441,20.0896,-145.5003,2
42.3399,20.124,-145.4885,2
42.3078,20.1649,-145.4553,2
42.2901,20.197,-145.3848,2
42.264,20.2025,-145.2796,2
42.2845,20.2311,-145.307,2
42.3219,20.2949,-145.3387,2
42.3672,20.4225,-145.4523,2
42.4299,20.5538,-145.6187,2
42.4809,20.7311,-145.7234,2
42.5825,20.8875,-145.8069,2
42.6308,20.9744,-145.8962,2
42.6277,20.9839,-146.023,2
42.6407,20.9921,-146.072,2
42.6626,21.0017,-146.0992,2
42.6572,21.0376,-146.1089,1
42.6469,21.043,-146.1101,1
42.6212,21.0329,-146.1256,1
42.585,21.0054,-146.1026,1
42.5604,20.9961,-146.0737,1
42.5254,20.9901,-146.0315,1
42.5111,20.9726,-145.9885,1
42.5096,20.9928,-145.9655,1
42.5071,21.0491,-145.9204,1
42.4914,21.1139,-145.8944,1
42.5063,21.1545,-145.8923,1
42.4814,21.1824,-145.8974,1
42.4333,21.1871,-145.8921,1
42.4115,21.199,-145.9119,1
42.3711,21.2103,-145.9847,1
42.3608,21.2092,-146.0197,1
42.3587,21.2138,-146.0547,1
42.342,21.209,-146.119,1
42.3054,21.2128,-146.2401,1
42.2454,21.1538,-146.3134,1
42.2007,21.0869,-146.3947,1
42.2183,21.0703,-146.4524,1
42.2552,21.086,-146.499,1
42.2724,21.1593,-146.4394,1
42.2895,21.2203,-146.3914,1
42.3298,21.295,-146.3241,1
42.3423,21.3306,-146.2372,1
42.3215,21.3316,-146.1309,1
42.2994,21.3435,-146.0119,1
42.2996,21.3444,-145.9756,1
42.3356,21.3742,-146.0164,1
42.3697,21.4489,-146.1145,1
42.3868,21.52,-146.187,1
42.3835,21.552,-146.2246,1
42.3766,21.5725,-146.2625,1
42.3939,21.5847,-146.2603,1
42.3926,21.6077,-146.2179,1
42.3947,21.6037,-146.1814,1
42.4031,21.6224,-146.1386,1
42.3842,21.641,-146.0937,1
42.3912,21.6511,-146.0719,1
42.3881,21.6424,-146.0672,1
42.3854,21.6042,-146.0792,1
42.3802,21.6064,-146.0708,1
42.3562,21.5973,-146.0532,1
42.3083,21.5657,-146.045,1
42.2846,21.5154,-146.0016,1
42.265,21.4587,-146.0113,1
42.2834,21.433,-146.0739,1
42.2776,21.4083,-146.1215,1
42.2728,21.4048,-146.1646,1
42.2703,21.4027,-146.2111,1
42.2748,21.4101,-146.2156,1
42.2804,21.4333,-146.2072,1
42.2808,21.4498,-146.1867,1
42.297,21.464,-146.1886,1
42.339,21.4889,-146.1242,1
42.3486,21.5289,-146.043,1
42.3429,21.5696,-146.0184,1
42.3537,21.5908,-146.0166,1
42.3713,21.596,-146.0233,1
42.4078,21.5791,-146.02,1
42.4177,21.6272,-145.9562,1
42.4308,21.6859,-145.9598,1
42.4327,21.7041,-145.948,1
42.4371,21.7041,-145.9254,1
42.4397,21.704,-145.904,1
42.4217,21.6974,-145.8945,1
42.4266,21.6681,-145.8408,1
42.3952,21.6696,-145.8433,1
42.3714,21.6521,-145.8405,1
42.34,21.6816,-145.841,1
42.3112,21.7319,-145.8558,1
42.3218,21.7465,-145.8383,1
42.3361,21.7931,-145.8091,1
42.3303,21.8468,-145.7547,1
42.3238,21.8693,-145.7194,1
42.2954,21.8637,-145.6909,1
42.2562,21.8405,-145.6875,1
42.2284,21.8152,-145.7046,1
42.201,21.8075,-145.7522,1
42.1611,21.8377,-145.8144,1
42.1221,21.8682,-145.8316,1
42.1101,21.881,-145.8159,1
42.0986,21.8875,-145.8075,1
42.0712,21.8881,-145.7807,1
42.079,21.9309,-145.7361,1
42.0694,21.9347,-145.656,1
42.0782,21.9135,-145.6083,1
42.1015,21.862,-145.5597,1
42.1038,21.828,-145.5416,1
42.1304,21.7859,-145.4474,1
42.1624,21.7643,-145.3943,1
42.2122,21.7187,-145.3055,1
42.2184,21.696,-145.2099,1
42.2273,21.6427,-145.1494,1
42.2359,21.592,-145.107,1
42.227,21.603,-145.0137,1
42.2613,21.5802,-145.0175,1
42.2697,21.5581,-144.9999,1
42.2831,21.5916,-144.9982,1
42.2909,21.6955,-145.0164,1
42.305,21.7754,-145.0941,1
42.3146,21.8885,-145.0979,1
42.3295,21.9617,-145.123,1
42.3383,21.9885,-145.1304,1
42.3242,22.0157,-145.1374,1
42.314,22.0674,-145.1294,1
42.2949,22.0984,-145.1329,1
42.2596,22.074,-145.1347,1
42.2157,22.0649,-145.1031,1
42.2132,22.0409,-145.051,1
42.2293,22.105,-144.9913,1
42.2452,22.1197,-144.9633,1
42.2901,22.1073,-144.9289,1
42.2974,22.1217,-144.8923,1
42.3201,22.1431,-144.8544,1
42.3598,22.1623,-144.8778,1
42.3491,22.1791,-144.8724,1
42.4038,22.2117,-144.8248,1
42.4171,22.2145,-144.7707,1
42.3624,22.1669,-144.7197,1
42.3297,22.1277,-144.6761,1
42.331,22.0957,-144.6302,1
42.2891,22.0698,-144.6127,1
42.2848,22.0586,-144.5708,1
42.2699,22.0167,-144.5503,1
42.2773,21.9683,-144.5575,1
42.2742,21.9856,-144.545,1
42.2576,21.9821,-144.5432,1
42.2613,22.0196,-144.5506,1
42.2892,22.0045,-144.5159,1
42.2827,22.0134,-144.4572,1
42.1962,21.9964,-144.4202,1
42.1615,21.9938,-144.4077,1
42.1238,21.976,-144.386,1
42.0833,21.9638,-144.3649,1
42.0626,21.9629,-144.3741,1
42.1174,22.0152,-144.3313,1
42.1666,22.0928,-144.3053,1
42.2228,22.1566,-144.3822,1
42.2692,22.2131,-144.4657,1
42.2855,22.2473,-144.4868,1
42.3006,22.3005,-144.4889,2
42.3233,22.3395,-144.5047,2
42.3317,22.318,-144.5538,2
42.3286,22.3499,-144.5835,2
42.3549,22.3889,-144.5851,2
42.3579,22.4418,-144.5686,2
42.3268,22.4021,-144.4701,2
42.2608,22.3876,-144.3155,2
42.2222,22.3702,-144.2341,2
42.2075,22.3651,-144.218,2
42.1654,22.3623,-144.1498,2
42.1008,22.2697,-144.1091,1
42.071,22.1817,-144.0564,1
42.0447,22.1312,-144.0402,1
42.0064,22.1389,-144.0727,1
41.9886,22.1447,-144.1011,1
41.9839,22.1677,-144.0969,1
42.017,22.1236,-144.0482,1
42.0286,22.1303,-143.9583,1
42.0238,22.1464,-143.9283,1
42.0184,22.1675,-143.9748,1
42.0273,22.2312,-143.9682,2
42.0406,22.2505,-143.9007,2
42.0405,22.2777,-143.8633,2
42.0462,22.2627,-143.8266,2
42.0642,22.2858,-143.7979,2
42.0932,22.3492,-143.7847,2
42.1393,22.395,-143.7764,2
42.1706,22.4287,-143.6696,2
42.1952,22.3929,-143.6013,2
42.179,22.3913,-143.556,1
42.1728,22.4012,-143.5437,1
42.1853,22.368,-143.5603,1
42.1802,22.3612,-143.5751,1
42.1938,22.3772,-143.5925,2
42.1794,22.3757,-143.624,2
42.1517,22.3615,-143.5818,2
42.1469,22.3458,-143.5265,2
42.1374,22.3141,-143.4763,2
42.1324,22.3161,-143.4333,2
42.1147,22.3333,-143.4039,2
42.1274,22.3442,-143.3974,2
42.1204,22.3662,-143.4321,2
42.114,22.3627,-143.4099,2
42.1376,22.3318,-143.3923,2
42.149,22.3527,-143.3545,2
42.1873,22.4494,-143.2995,2
42.1907,22.4903,-143.3196,2
42.1905,22.5329,-143.3155,2
42.1959,22.5475,-143.3016,2
42.1894,22.5118,-143.297,3
42.2042,22.541,-143.2951,2
42.2029,22.5428,-143.2226,2
42.1746,22.5311,-143.1253,2
42.1962,22.5238,-143.0247,2
42.2031,22.5133,-142.9844,2
42.1957,22.523,-142.9863,2
42.1695,22.5491,-143.0058,2
42.1368,22.5279,-143.0157,2
42.1336,22.5447,-143.0386,2
42.1245,22.5338,-143.0462,2
42.1106,22.5419,-143.0388,2
42.1044,22.565,-143.0086,2
42.0921,22.6349,-143.0077,2
42.077,22.6718,-142.9326,2
42.0581,22.6798,-142.8915,2
42.0431,22.7082,-142.8223,2
42.0441,22.7297,-142.7977,2
42.0545,22.8024,-142.7657,2
42.079,22.883,-142.731,2
42.0816,22.9009,-142.6766,2
42.0912,22.9271,-142.6461,2
42.0853,22.918,-142.5936,2
42.0834,22.884,-142.5451,2
42.0763,22.8689,-142.5169,2
