z,x,y,z,y,TRUTH,,,
-142.1003,21.1567,43.2166,4,3,4,,,
-142.1292,21.1411,43.1935,4,3,4,,,
-142.1256,21.0785,43.1798,4,3,4,,,
-142.138,21.0299,43.1503,4,3,4,,,
-142.1355,21.0032,43.121,4,3,4,,,
-142.1523,21.0096,43.1164,4,3,4,,,
-142.1841,21.0082,43.1157,4,2,4,,,
-142.1625,20.9931,43.0999,4,2,4,,,
-142.1792,20.959,43.1026,4,2,4,,,
-142.2225,20.971,43.1087,4,2,4,,,
-142.245,20.9487,43.1173,4,3,4,,,
-142.2738,20.9729,43.1485,4,3,4,,,
-142.218,20.968,43.1314,4,3,4,,,
-142.1849,20.9642,43.0901,4,2,4,,,
-142.1806,20.9307,43.0548,4,2,4,,,
-142.1557,20.8736,43.0182,4,2,4,,,
-142.1667,20.8231,42.9894,4,2,4,,,
-142.1345,20.8088,42.9548,4,2,4,,,
-142.0878,20.7985,42.9313,4,2,4,,,
-142.0571,20.7899,42.9095,4,2,4,,,
-142.0418,20.7811,42.8919,4,2,4,,,
-142.0647,20.7865,42.8755,4,2,4,,,
-142.0924,20.7812,42.8713,4,2,4,,,
-142.0969,20.7889,42.8597,4,2,4,,,
-142.0876,20.7653,42.8448,4,2,4,,,
-142.157,20.7694,42.854,4,2,4,,,
-142.2269,20.8077,42.8597,4,2,4,,,
-142.2561,20.8115,42.8813,4,2,4,,,
-142.2936,20.8156,42.8738,4,2,4,,,
-142.2965,20.8267,42.863,4,2,4,,,
-142.2806,20.8236,42.8685,4,2,4,,,
-142.2739,20.7995,42.865,4,2,4,,,
-142.3011,20.8067,42.8802,4,2,4,,,
-142.329,20.7967,42.888,4,2,4,,,
-142.3758,20.794,42.9122,4,2,4,,,
-142.3644,20.7488,42.9082,4,2,4,,,
-142.3619,20.7594,42.9106,4,2,4,,,
-142.3637,20.7554,42.9107,4,2,4,,,
-142.366,20.7281,42.9226,4,2,4,,,
-142.3397,20.7518,42.9371,4,2,4,,,
-142.3384,20.7407,42.9506,4,2,4,,,
-142.4207,20.7633,42.953,3,2,4,,,
-142.4874,20.773,42.9772,3,2,4,,,
-142.6021,20.776,42.9903,3,2,4,,,
-142.6642,20.7934,43.0082,3,2,4,,,
-142.6803,20.7835,43.0116,3,2,4,,,
-142.712,20.7404,43.0122,3,2,4,,,
-142.7457,20.7258,43.0047,3,2,4,,,
-142.7733,20.7614,43.0006,3,2,4,,,
-142.8006,20.7234,42.9824,3,2,4,,,
-142.8487,20.6642,42.9387,3,2,4,,,
-142.8978,20.6191,42.9173,3,2,4,,,
-142.961,20.5893,42.9048,3,2,4,,,
-143.0358,20.5957,42.9156,3,2,4,,,
-143.0739,20.6148,42.9426,3,2,4,,,
-143.0856,20.671,42.9644,3,2,4,,,
-143.0905,20.7116,42.9877,3,2,4,,,
-143.0688,20.7562,42.9943,3,2,4,,,
-143.0569,20.8037,43.0264,3,2,4,,,
-143.1312,20.8597,43.055,3,2,4,,,
-143.1299,20.9521,43.1325,3,3,4,,,
-143.1142,20.9979,43.1761,3,3,4,,,
-143.1022,21.031,43.2031,3,3,4,,,
-143.1013,21.1131,43.2637,3,3,4,,,
-143.0929,21.1976,43.2899,3,3,4,,,
-143.0893,21.302,43.3162,3,3,4,,,
-143.0831,21.3981,43.344,3,3,4,,,
-143.0675,21.5117,43.3549,3,3,4,,,
-143.1058,21.73,43.3731,3,3,4,,,
-143.1459,22.0046,43.3585,3,3,4,,,
-143.1866,22.2445,43.3334,3,3,4,,,
-143.2542,22.4069,43.3029,3,3,4,,,
-143.3363,22.5434,43.2586,3,3,4,,,
-143.3667,22.6134,43.1839,3,3,4,,,
-143.403,22.6736,43.1211,3,3,4,,,
-143.4429,22.6822,43.0523,3,2,4,,,
-143.5015,22.6951,42.9905,3,2,4,,,
-143.5929,22.7012,42.9229,2,2,4,,,
-143.624,22.7226,42.8458,2,2,3,,,
-143.7035,22.7009,42.7726,2,2,3,,,
-143.784,22.601,42.673,2,2,3,,,
-143.8753,22.4728,42.5907,2,2,3,,,
-143.93,22.3259,42.5153,2,2,3,,,
-143.9657,22.229,42.4437,2,2,3,,,
-143.9801,22.1019,42.3986,2,2,3,,,
-144.008,21.9895,42.3755,2,2,3,,,
-144.0605,21.8678,42.379,2,2,4,,,
-144.1273,21.7742,42.3907,2,2,4,,,
-144.2039,21.6538,42.4423,2,2,4,,,
-144.2279,21.6367,42.5191,2,2,4,,,
-144.3276,21.6502,42.6239,2,2,4,,,
-144.3538,21.7088,42.7349,2,2,4,,,
-144.4059,21.7051,42.8216,2,2,4,,,
-144.3757,21.6773,42.9023,2,2,4,,,
-144.3762,21.6395,42.976,2,2,4,,,
-144.3301,21.6453,43.0378,2,2,4,,,
-144.3251,21.6468,43.0999,2,2,4,,,
-144.2981,21.6156,43.1372,2,3,4,,,
-144.2222,21.5929,43.161,2,3,4,,,
-144.1906,21.5303,43.1821,2,3,4,,,
-144.1918,21.4702,43.2097,2,3,4,,,
-144.2264,21.4607,43.2406,2,3,4,,,
-144.2375,21.4241,43.2532,2,3,4,,,
-144.2541,21.3887,43.2685,2,3,4,,,
-144.2748,21.3458,43.2804,2,3,4,,,
-144.267,21.3344,43.3123,2,3,4,,,
-144.2838,21.3762,43.3939,2,3,4,,,
-144.3226,21.4317,43.4789,2,3,4,,,
-144.3436,21.4088,43.5474,2,3,4,,,
-144.3652,21.4404,43.593,2,4,4,,,
-144.3477,21.4001,43.5938,2,4,4,,,
-144.3621,21.3865,43.5725,2,4,4,,,
-144.3993,21.3438,43.5321,2,3,4,,,
-144.4176,21.3034,43.4925,2,3,4,,,
-144.4406,21.2327,43.4298,2,3,4,,,
-144.474,21.1496,43.3805,2,3,4,,,
-144.5429,21.074,43.3246,2,3,4,,,
-144.582,21.0588,43.2939,2,3,4,,,
-144.6073,21.0039,43.2619,2,3,4,,,
-144.6358,20.9642,43.2429,2,3,4,,,
-144.7007,20.9084,43.2248,2,3,4,,,
-144.7396,20.8964,43.2217,2,3,4,,,
-144.8017,20.905,43.2354,2,3,4,,,
-144.837,20.8915,43.2298,2,3,4,,,
-144.8914,20.8731,43.2311,2,3,4,,,
-144.926,20.8613,43.2382,2,3,4,,,
-144.9642,20.8531,43.2249,2,3,4,,,
-145.0114,20.824,43.2243,2,3,4,,,
-145.0377,20.8393,43.2161,2,3,4,,,
-145.0585,20.8777,43.2108,2,3,4,,,
-145.0879,20.8941,43.2001,2,3,4,,,
-145.0753,20.8854,43.1632,2,3,4,,,
-145.1062,20.8545,43.1575,2,3,4,,,
-145.1043,20.8184,43.1596,2,3,4,,,
-145.087,20.7868,43.1379,2,3,4,,,
-145.0676,20.7543,43.102,2,2,4,,,
-145.0522,20.7195,43.0887,2,2,4,,,
-145.0506,20.7192,43.0814,2,2,4,,,
-145.0639,20.732,43.0899,2,2,4,,,
-145.0802,20.7797,43.1244,2,3,4,,,
-145.0992,20.8307,43.1692,2,3,4,,,
-145.1034,20.8447,43.2179,2,3,4,,,
-145.106,20.8764,43.2529,2,3,4,,,
